#size[B];duration[s];proc_delay_mean[s]
1;0.172102;
2;0.180294;
3;0.188487;
4;0.196696;
5;0.213082;
6;0.221274;
7;0.229467;
8;0.237660;
9;0.254062;
10;0.262255;
11;0.270447;
12;0.286833;
13;0.295025;
14;0.303218;
15;0.311411;
16;0.327796;
17;0.335989;
18;0.344182;
19;0.352374;
20;0.368760;0.088179
21;0.376952;0.088342
22;0.393338;0.088602
23;0.409723;0.08847
24;0.417916;0.08861
25;0.426109;0.089275
26;0.434301;0.08981
27;0.450703;0.089132
28;0.458896;0.090243
29;0.467089;0.089612
30;0.475281;0.089211
31;0.491667;0.089637
32;0.499859;0.089766
33;0.508052;0.089296
34;0.516245;0.090202
35;0.540773;0.089477
36;0.548965;0.089757
37;0.557158;0.090813
38;0.565351;0.090466
39;0.581736;0.090415
40;0.589929;0.090421
41;0.598122;0.090643
42;0.606314;0.090372
43;0.622716;0.08997
44;0.630909;0.090292
45;0.663663;0.090612
46;0.671856;0.090539
47;0.680048;0.091028
48;0.688241;0.090784
49;0.704643;0.090187
50;0.712836;0.091975
51;0.721029;0.091203
52;0.737431;0.091354
53;0.745623;0.090765
54;0.753816;0.09085
55;0.762009;0.091036
56;0.770201;0.092341
57;0.786570;0.093082
58;0.794763;0.091208
59;0.802955;0.091176
60;0.811148;0.092324
61;0.827550;0.092172
62;0.835743;0.09186
63;0.843935;0.091819
64;0.860338;0.092682
